ROUND,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,A65,A66,A67,A68,A69,A70,A71,A72,A73,A74,A75,A76,A77,A78,A79,A80,A81,A82,A83,A84,A85,A86,A87,A88,A89,A90,A91,A92,A93,A94,A95,A96,A97,A98,A99,
50,4,4,3,3,4,4,3,4,3,3,3,4,3,4,3,4,3,3,4,4,3,3,3,3,3,3,4,4,3,4,3,4,3,4,4,4,3,3,3,3,3,3,3,3,3,4,4,3,3,3,4,4,3,4,3,3,4,4,3,4,4,4,3,3,3,4,4,3,4,4,4,3,4,3,3,3,3,4,4,4,3,4,3,4,3,4,3,4,3,4,3,3,4,4,3,3,3,3,3,4,
55,4,4,3,3,4,4,3,3,3,3,4,3,4,3,3,4,3,3,4,3,4,4,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,3,4,4,3,4,3,4,3,3,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,3,4,3,3,
60,3,3,4,4,4,4,3,4,3,4,3,4,4,4,4,3,4,4,3,3,3,3,3,3,3,4,4,4,4,3,4,4,4,3,3,3,3,3,4,4,4,4,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,3,4,4,3,3,3,4,4,4,3,4,4,4,3,3,4,3,3,4,3,4,4,4,3,4,4,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,
65,3,3,3,4,4,3,3,4,3,3,3,3,4,3,3,3,3,4,3,3,4,3,3,3,3,4,4,4,3,3,4,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,4,3,3,3,3,4,4,4,3,3,3,4,4,3,4,4,4,4,3,4,3,3,4,3,4,3,3,3,3,4,3,4,3,4,4,3,3,4,3,4,4,3,4,3,3,4,3,3,4,3,4,3,4,
70,3,4,3,3,4,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,4,4,4,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,4,3,4,4,3,4,3,3,4,3,4,4,4,
75,4,3,4,3,3,4,3,3,4,4,4,3,3,4,3,3,3,4,3,3,3,4,3,3,4,4,3,3,3,4,4,4,4,4,3,4,4,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,4,3,4,3,4,3,3,4,3,4,3,4,3,3,4,3,4,3,4,3,4,3,3,3,3,3,3,4,3,4,3,3,4,3,4,3,3,3,4,3,3,4,4,3,3,3,4,4,
80,4,3,3,3,3,4,4,4,3,4,3,3,4,4,4,3,4,3,4,4,4,3,4,4,3,4,3,4,4,3,4,3,4,3,4,4,4,3,4,3,4,4,3,3,4,3,4,3,4,3,3,3,3,3,4,3,4,4,3,4,3,4,4,4,3,3,3,4,4,4,3,3,3,3,3,3,4,4,4,3,4,4,3,4,4,3,3,4,4,4,3,4,4,3,3,4,4,3,3,3,
85,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,4,3,3,3,3,4,4,4,3,3,3,3,4,3,4,4,4,4,4,3,4,3,4,3,3,3,4,4,3,4,3,3,4,3,3,3,3,3,4,3,4,3,4,4,4,4,3,3,3,3,3,4,3,3,4,3,4,3,3,3,4,4,3,4,3,4,4,4,4,4,4,3,3,4,4,4,4,4,3,4,3,4,3,3,4,
90,3,3,4,4,3,3,4,3,4,4,3,4,3,3,3,3,3,3,4,3,3,3,4,4,4,3,3,3,4,4,3,4,3,3,3,3,4,4,4,4,3,4,3,3,4,4,3,3,4,4,3,3,4,4,4,3,3,4,3,4,4,4,3,3,3,3,4,3,3,3,3,4,3,4,3,3,4,3,4,4,3,4,4,4,4,3,3,3,4,4,4,3,4,3,4,3,4,3,4,3,
95,3,3,3,3,4,3,4,3,3,4,4,4,3,4,4,4,3,4,4,4,3,4,3,4,3,3,3,3,3,3,4,3,3,4,3,3,4,4,3,3,3,4,4,3,3,3,3,3,4,3,3,4,3,4,4,3,4,4,4,4,3,3,4,4,4,3,4,3,4,3,3,3,3,4,4,4,3,4,4,3,4,4,3,3,3,4,3,3,3,4,4,4,3,4,3,4,4,3,4,4,
100,3,3,3,3,4,3,4,4,4,3,4,4,3,4,3,4,3,4,3,3,4,4,3,4,3,4,4,3,4,4,4,4,3,4,4,3,4,4,3,3,4,3,4,3,4,4,3,3,3,4,3,4,3,4,3,4,4,4,4,4,3,3,4,3,4,3,4,3,4,3,3,3,3,4,3,4,3,4,4,3,4,3,3,3,4,4,3,3,4,3,3,4,3,4,4,4,3,4,4,3,
105,3,4,3,3,3,3,3,4,4,4,4,3,4,3,4,4,4,3,3,3,3,3,3,4,3,4,4,3,4,4,3,3,3,3,4,3,4,4,4,4,4,3,4,4,4,3,3,4,4,4,4,4,3,4,4,4,3,3,3,4,4,3,3,3,4,4,3,3,4,4,3,4,4,3,3,4,3,4,4,4,3,4,3,3,4,4,3,4,4,3,4,4,4,3,3,3,4,4,3,4,
110,3,4,3,3,3,4,3,3,3,4,4,3,4,3,3,4,4,3,3,4,3,3,4,3,3,4,4,3,4,4,3,3,3,3,3,3,4,3,4,4,4,4,3,4,4,4,3,3,4,4,4,3,4,3,4,3,3,4,4,3,4,4,4,4,4,4,3,4,4,3,4,4,4,3,4,3,4,4,3,4,3,3,4,3,4,3,4,3,4,4,4,4,4,4,4,4,3,4,3,4,
115,4,4,3,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,3,3,3,4,3,3,4,4,4,3,3,3,4,4,4,3,4,3,4,4,4,4,3,3,4,3,4,3,4,4,4,3,3,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,3,4,3,3,3,4,3,4,4,4,3,4,3,3,3,4,4,4,4,4,3,3,3,4,3,4,4,4,3,4,4,4,3,4,
120,4,3,3,4,4,4,4,3,3,3,4,4,4,4,3,3,4,3,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,3,4,4,4,3,4,3,3,3,4,4,4,4,4,3,4,4,3,3,4,4,3,3,4,4,4,4,3,3,4,4,4,4,4,4,4,3,3,4,4,3,4,4,3,4,3,3,3,3,3,4,4,3,4,3,3,4,4,4,4,4,3,4,4,4,3,4,
125,3,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,3,4,3,4,4,3,4,4,3,4,4,4,4,3,4,3,3,4,3,4,4,4,4,4,3,4,4,4,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,3,4,4,4,3,4,4,
130,4,4,4,4,3,3,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,3,4,3,3,4,4,3,3,4,3,3,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,
135,4,4,3,4,4,4,4,3,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,3,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,4,3,4,4,3,4,4,4,4,4,3,4,4,3,4,4,4,3,4,4,4,4,3,4,3,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,3,4,
140,4,4,3,4,3,4,4,3,4,4,4,4,3,4,3,4,3,3,4,3,4,3,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,3,4,3,4,4,4,3,4,4,4,3,4,4,4,4,4,3,3,4,4,3,4,4,4,4,4,4,4,4,3,4,3,4,4,3,4,4,4,3,3,4,4,4,4,4,4,3,3,4,4,3,3,4,3,4,
145,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,3,4,4,4,4,3,4,4,4,4,3,3,4,3,4,3,4,4,4,4,4,3,3,3,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,4,4,3,4,4,3,4,4,3,4,4,3,4,3,4,4,4,4,4,4,3,4,4,3,4,4,3,3,4,4,4,4,4,
150,4,4,4,3,4,4,3,4,3,4,4,4,4,4,3,4,4,4,4,4,4,3,4,3,4,3,3,3,4,4,3,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,3,4,3,4,4,4,4,4,3,3,4,4,3,3,4,4,3,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,4,4,3,3,4,4,
155,4,3,4,4,4,3,4,3,3,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,3,3,4,3,3,4,4,4,3,3,4,3,4,4,4,3,4,4,4,4,3,4,3,4,4,4,3,3,4,4,4,3,4,4,4,4,4,3,3,4,4,3,3,4,4,4,4,4,4,4,3,4,3,3,3,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,3,4,4,4,
160,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,4,4,3,4,4,4,4,3,4,4,4,4,4,3,4,4,3,4,4,3,3,4,4,4,4,4,4,3,4,4,3,4,4,4,3,4,3,3,4,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,3,4,4,3,4,3,3,4,4,4,4,4,3,
165,4,4,4,3,4,3,4,4,3,3,4,4,4,4,3,4,4,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,3,4,3,4,3,3,3,4,4,4,4,4,3,3,4,3,4,3,4,4,3,3,4,3,4,3,4,4,
170,4,4,4,3,3,4,4,3,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,3,3,4,3,4,4,4,3,4,4,4,4,4,3,3,4,4,3,4,4,3,4,4,4,4,4,4,3,4,4,4,4,3,4,3,4,3,4,4,3,4,4,4,4,4,4,4,3,3,4,3,4,4,3,4,3,3,3,4,4,
175,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,3,4,4,4,3,3,4,3,4,4,4,4,3,3,4,4,4,3,4,3,4,4,3,4,4,3,4,3,4,3,4,3,3,4,4,4,4,3,4,4,4,4,3,3,4,4,4,3,4,3,4,4,4,4,
180,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,
185,3,4,3,3,3,4,3,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,4,4,4,4,3,4,4,4,3,4,4,4,3,4,3,4,4,3,4,4,4,4,3,4,4,4,4,4,4,3,4,4,3,
190,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,
195,4,3,4,4,3,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,3,3,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,3,3,4,4,4,4,3,3,3,
200,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,3,4,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,3,4,3,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,3,4,
205,4,4,4,4,4,3,4,4,3,3,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,3,4,4,3,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,3,4,3,3,4,3,3,4,3,4,4,4,3,4,4,3,4,3,4,4,3,4,4,4,4,4,4,3,4,4,4,4,3,3,4,3,
210,3,4,4,3,3,4,4,4,4,4,4,3,3,4,3,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,3,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,
215,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,
220,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,4,4,4,3,4,4,4,4,4,3,4,4,4,3,4,4,4,3,4,3,3,4,4,4,4,3,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,4,
225,4,4,3,4,4,3,4,4,4,4,3,4,4,4,3,3,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,4,3,4,4,4,3,4,3,4,3,4,3,4,4,4,3,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,
230,4,4,4,4,4,4,4,3,4,3,4,4,4,4,3,4,3,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,3,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,3,4,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,
235,3,4,4,4,4,4,3,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,4,4,4,3,3,3,4,4,4,4,4,3,3,4,3,4,3,3,4,3,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,3,3,4,3,3,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,3,4,3,
240,3,4,3,4,3,4,4,3,4,4,4,4,3,3,4,4,3,3,4,3,4,4,3,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,3,3,3,4,3,4,4,4,3,4,4,3,3,3,4,4,4,3,4,3,4,4,3,3,4,4,3,4,4,4,4,4,4,3,3,
245,3,4,3,4,4,4,3,4,4,3,3,3,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,4,4,4,3,4,3,3,4,4,4,3,3,4,3,3,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,3,3,3,4,4,3,4,4,4,4,3,4,3,4,3,4,4,4,4,4,4,3,3,3,4,4,3,4,4,4,3,4,3,4,4,3,3,3,3,3,
250,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,3,4,4,4,4,3,4,4,4,3,3,3,3,4,4,4,4,3,4,4,3,3,3,4,4,4,4,3,3,4,4,3,4,4,3,3,4,4,4,3,4,4,4,4,3,4,3,3,3,4,3,4,4,3,3,3,4,3,4,4,4,4,4,3,3,3,3,4,3,4,3,3,4,
255,4,4,4,4,3,4,4,4,4,4,3,3,4,4,3,3,3,3,4,4,3,3,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,3,3,3,4,3,3,4,3,4,3,4,3,4,3,3,4,3,4,3,3,3,4,3,4,4,3,3,4,4,4,4,4,4,4,3,4,4,3,3,4,4,3,4,4,4,3,3,4,4,4,3,4,3,4,4,3,4,3,3,4,4,4,3,
260,4,3,4,3,3,4,4,4,4,4,3,4,4,4,4,3,3,4,4,4,4,4,3,3,4,4,4,4,3,4,4,3,3,4,3,4,4,3,3,4,4,4,4,3,3,4,4,4,4,3,4,4,3,4,3,4,4,4,4,3,3,4,4,4,3,4,3,4,4,4,4,4,4,3,4,3,4,3,3,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,3,3,
265,4,4,3,4,4,3,4,3,4,3,4,4,3,4,4,4,4,3,4,4,3,3,4,4,4,3,4,4,4,3,3,4,3,4,4,4,3,3,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,4,3,4,4,3,4,4,3,4,4,4,4,4,4,4,3,4,3,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,
270,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,3,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,4,3,4,4,3,4,3,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,3,4,3,4,4,4,4,
275,4,4,3,3,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,3,3,4,4,3,4,3,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,3,3,4,3,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,
280,4,4,3,3,4,3,4,4,4,4,4,4,4,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,4,3,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,
285,4,4,4,3,4,4,4,3,3,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,3,
290,4,4,3,4,4,3,4,3,4,3,3,4,4,4,4,4,4,3,3,4,3,4,4,4,3,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,3,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,3,4,3,4,3,
295,3,4,3,4,3,3,4,4,4,3,3,3,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,3,4,4,3,3,4,3,4,3,4,4,3,4,4,4,3,4,4,4,3,4,3,4,4,4,4,3,4,4,4,3,4,3,4,3,4,3,4,4,3,4,4,4,3,3,3,4,4,4,4,3,4,3,4,4,4,4,4,3,4,3,4,4,4,4,4,3,3,4,3,4,3,
300,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,3,4,4,4,4,4,4,3,4,4,4,3,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,3,4,3,4,3,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,3,4,4,3,3,4,4,3,4,4,4,4,
