ROUND,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,
43,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,
44,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,
45,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,-1,0,0,-1,0,0,-1,-1,-1,-1,
46,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,
47,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,
48,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,
49,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,-1,0,0,-1,0,0,-1,-1,-1,-1,
50,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,
51,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,-1,0,0,-1,0,0,-1,-1,-1,-1,
52,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,
53,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,
54,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,
55,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,-1,0,0,-1,0,0,-1,-1,-1,-1,
56,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,
57,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,
58,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,
59,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,-1,0,0,-1,0,0,-1,-1,-1,-1,
60,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,
61,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,-1,0,0,-1,0,0,-1,-1,-1,-1,
62,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,
63,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,
64,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,
65,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,-1,0,0,-1,0,0,-1,-1,-1,-1,
66,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,
67,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,-1,0,0,-1,0,0,-1,-1,-1,-1,
68,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,
69,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,-1,0,0,-1,0,0,-1,-1,-1,-1,
70,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,
71,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,
72,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,
73,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,-1,0,0,-1,0,0,-1,-1,-1,-1,
74,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,
75,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,
76,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,
77,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,-1,0,0,-1,0,0,-1,-1,-1,-1,
78,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,
79,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,-1,0,0,-1,0,0,-1,-1,-1,-1,
80,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,
81,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,
82,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,
83,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,-1,0,0,-1,0,0,-1,-1,-1,-1,
84,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,
85,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,-1,0,0,-1,0,0,-1,-1,-1,-1,
86,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,
87,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,
88,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,
89,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,-1,0,0,-1,0,0,-1,-1,-1,-1,
90,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,
91,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,-1,0,0,-1,0,0,-1,-1,-1,-1,
92,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,
93,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,-1,0,0,-1,0,0,-1,-1,-1,-1,
94,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,
95,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,
96,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,
97,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,-1,0,0,-1,0,0,-1,-1,-1,-1,
98,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,
99,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,
100,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,
